Keywords,Utterance,Response
"hello, hi, hey, greet","hello, hi, hey, greetings",Hello! I am your health assistant. How can I help you today?
"head, pain, ache","i have a headache, my head hurts","Rest in a dark room and stay hydrated. If it persists, consult a doctor."
"fever, cold, flu","i have a fever,my body hurts","Wash your hands frequently, eat vitamins, and get plenty of sleep."
"diet, food, eat",what is a healthy diet,"A balanced diet includes fruits, vegetables, lean proteins, and whole grains."
"sleep, tired, rest","i am always tired, i can't sleep",Aim for 7-9 hours of sleep. Try to limit screen time 1 hour before bed.
"fever, hot, temperature","i have a fever, my body feels hot","Drink plenty of fluids and rest. Use a cool compress. If temperature is very high, see a doctor."
"stress, anxiety, worry",i feel stressed and anxious,"Try deep breathing exercises or a short walk. If you feel overwhelmed, talk to a professional."
"exercise, gym, workout",how often should i exercise,Most experts recommend at least 150 minutes of moderate aerobic activity per week.
"best , great , nice","best, great, nice, products",The best products in Arynest are very many.What exactly are you looking for?
"cramps, piriod, cycle","cramps, piriod ,cycle",sorry for going through that drink a lot of water.
"weight, loss, gain","how can i lose weight","Combine a balanced diet with regular exercise and avoid processed foods."
"vomiting, nausea","i feel like vomiting","Take small sips of water and rest. Avoid solid food until you feel better."
"allergy, itching, rash","i have a skin rash","Avoid irritants and consider antihistamines. See a doctor if it worsens."
"diarrhea, loose motion","i have diarrhea","Stay hydrated with oral fluids and eat light foods. Seek help if it persists."
"mental health, depression, sad","i feel very sad","You’re not alone. Consider talking to someone you trust or a mental health professional."
"back pain, body pain","my back hurts","Maintain good posture, stretch regularly, and avoid heavy lifting."
"cold, runny nose, sneezing","i have a runny nose","Stay warm, drink fluids, and rest. Symptoms usually improve in a few days."
"cough, throat, sore throat","i have a sore throat and cough","Drink warm fluids, rest your voice, and consider lozenges."
"hunger, hungry, emaciated","i am hungry and emaciated","Make sure you eat a ballanced diet every day and avoid over working yourself."